,Average TTP (hour),Average persistent level,Average Fight Quit,"Average totalUSDSecondPayDayOrLastPlayDay
(Meaning it's on the second pay day of the player or the last pay days for one-time monetizing players)",Average played days
One time paying players,13.66125313,11.31615594,11.49370807,12.1388874,12.37084316
Multiple times paying players,19.75059582,14.23760558,17.7185702,28.22558453,15.88260497
